RIR,Country Code,ASN Number,Allocated Date
lacnic,MX,AS15236,20000406
lacnic,PA,AS15241,20000406
lacnic,,AS15246,
lacnic,AR,AS15252,20000407
lacnic,BR,AS15256,20000516
lacnic,AR,AS15274,20000412
lacnic,CL,AS15311,20000414
lacnic,BR,AS16397,20000503
lacnic,AR,AS16418,20000426
lacnic,CL,AS16471,20000501
lacnic,,AS16506,
lacnic,,AS16522,
lacnic,AR,AS16528,20000509
lacnic,MX,AS16531,20000509
lacnic,SV,AS16592,20000523
lacnic,BR,AS16594,20000825
lacnic,MX,AS16596,20000523
lacnic,,AS16606,
lacnic,VE,AS16607,20000525
lacnic,CL,AS16629,20000530
lacnic,CO,AS16663,20000515
lacnic,BR,AS16685,20000522
lacnic,MX,AS16689,20000518
lacnic,AR,AS16701,20000519
lacnic,,AS16712,
lacnic,AR,AS16732,20000605
lacnic,BR,AS16735,20000817
lacnic,,AS16736,
lacnic,CL,AS16742,20000605
lacnic,MX,AS16762,20000607
lacnic,UY,AS16772,20000607
lacnic,CL,AS16780,20000607
lacnic,AR,AS16814,20000613
lacnic,CL,AS16847,20000620
lacnic,CL,AS16849,20000620
lacnic,,AS16864,
lacnic,CL,AS16874,20000622
lacnic,BR,AS16885,20000630
lacnic,BR,AS16891,20000626
lacnic,SV,AS16906,20000628
lacnic,BR,AS16911,20010618
lacnic,MX,AS16960,20000706
lacnic,CR,AS16973,20000707
lacnic,AR,AS16975,20000707
lacnic,CL,AS16990,20000711
lacnic,AR,AS17069,20000719
lacnic,MX,AS17072,20000720
lacnic,SV,AS17079,20000721
lacnic,SV,AS17086,20000724
lacnic,BR,AS17108,20130422
lacnic,CL,AS17126,20000727
lacnic,CL,AS17147,20000731
lacnic,CR,AS17182,20000803
lacnic,VE,AS17205,20000804
lacnic,BR,AS17208,20130401
lacnic,BR,AS17222,20000817
lacnic,MX,AS17249,20000810
lacnic,MX,AS17250,20000810
lacnic,UY,AS17255,20000811
lacnic,CL,AS17257,20000811
lacnic,VE,AS17287,20000816
lacnic,,AS17329,
lacnic,CR,AS17376,20000824
lacnic,BR,AS17379,20000915
lacnic,AR,AS17399,20000828
lacnic,AR,AS17401,20000828
lacnic,MX,AS18449,20000830
lacnic,AR,AS18455,20000830
lacnic,BZ,AS18466,20000831
lacnic,BR,AS18479,20000912
lacnic,CL,AS18492,20000906
lacnic,AR,AS18496,20000906
lacnic,MX,AS18532,20000908
lacnic,BR,AS18547,20000921
lacnic,AR,AS18576,20000914
lacnic,UY,AS18579,20000914
lacnic,MX,AS18592,20000915
lacnic,BR,AS18644,20130401
lacnic,UY,AS18667,20000926
lacnic,CO,AS18678,20000928
lacnic,MX,AS18734,20001005
lacnic,BR,AS18739,20001207
lacnic,BR,AS18782,20130401
lacnic,PA,AS18809,20001013
lacnic,CL,AS18822,20001016
lacnic,BR,AS18836,20010301
lacnic,NI,AS18840,20001017
lacnic,MX,AS18846,20001017
lacnic,CO,AS18869,20001020
lacnic,BR,AS18881,20001023
lacnic,CL,AS18941,20001030
lacnic,CR,AS18998,20001107
lacnic,VE,AS19033,20001110
lacnic,AR,AS19037,20001110
lacnic,MX,AS19038,20001110
lacnic,AR,AS19064,20001115
lacnic,CL,AS19077,20001116
lacnic,BR,AS19089,20001122
lacnic,,AS19090,
lacnic,AR,AS19109,20001120
lacnic,EC,AS19114,20001120
lacnic,,AS19132,
lacnic,EC,AS19169,20001130
lacnic,PE,AS19180,20001201
lacnic,BR,AS19182,20010620
lacnic,VE,AS19192,20001204
lacnic,CL,AS19196,20001204
lacnic,BR,AS19200,20090601
lacnic,CL,AS19228,20001206
lacnic,AR,AS19244,20001207
lacnic,MX,AS19259,20001208
lacnic,,AS19278,
lacnic,AR,AS19315,20001215
lacnic,MX,AS19332,20001218
lacnic,CL,AS19338,20001219
lacnic,,AS19361,
lacnic,MX,AS19373,20001226
lacnic,CL,AS19411,20010103
lacnic,UY,AS19422,20010104
lacnic,CO,AS19429,20010105
lacnic,NI,AS19447,20010108
lacnic,AR,AS19519,20010116
lacnic,AR,AS19553,20010118
lacnic,EC,AS19582,20010122
lacnic,AR,AS19583,20010122
lacnic,BR,AS19611,20010130
lacnic,CL,AS19632,20010126
lacnic,MX,AS19688,20010202
lacnic,BR,AS19723,20010308
lacnic,CO,AS19731,20010208
lacnic,BR,AS19763,20010516
lacnic,GT,AS19767,20010212
lacnic,GY,AS19863,20010222
lacnic,,AS19873,
lacnic,AR,AS19889,20010227
lacnic,,AS19960,
lacnic,AR,AS19978,20010312
lacnic,,AS19989,
lacnic,BR,AS19990,20140613
