RIR,Country Code,ASN Number,Allocated Date
afrinic,BJ,AS37136,20090826
afrinic,KE,AS37137,20090827
afrinic,ZA,AS37138,20090827
afrinic,MZ,AS37139,20090827
afrinic,GH,AS37140,20090827
afrinic,GN,AS37141,20090831
afrinic,ZZ,AS37142,
afrinic,TZ,AS37143,20090902
afrinic,NG,AS37144,20090902
afrinic,ZA,AS37145,20090904
afrinic,ZM,AS37146,20090914
afrinic,AO,AS37147,20090916
afrinic,NG,AS37148,20090917
afrinic,ZZ,AS37149,
afrinic,ZA,AS37150,20091012
afrinic,ZZ,AS37151,
afrinic,ZZ,AS37152,
afrinic,ZA,AS37153,20091026
afrinic,ZM,AS37154,20091108
afrinic,ZZ,AS37155,
afrinic,KE,AS37156,20091123
afrinic,ZA,AS37157,20091124
afrinic,ZZ,AS37158,
afrinic,ZA,AS37159,20091125
afrinic,ZA,AS37160,20091207
afrinic,ZZ,AS37161,
afrinic,ZZ,AS37162,
afrinic,BF,AS37163,20091224
afrinic,SL,AS37164,20100105
afrinic,KE,AS37165,20100112
afrinic,KE,AS37166,20100120
afrinic,ZA,AS37167,20100120
afrinic,ZA,AS37168,20100129
afrinic,ZZ,AS37169,
afrinic,NG,AS37170,20100204
afrinic,ZZ,AS37171,
afrinic,ZA,AS37172,20100205
afrinic,ZA,AS37173,20100209
afrinic,ZZ,AS37174,
afrinic,ZA,AS37175,20100211
afrinic,ZZ,AS37176,
afrinic,MU,AS37177,20100215
afrinic,NG,AS37178,20100216
afrinic,ZA,AS37179,20100218
afrinic,ZA,AS37180,20100222
afrinic,MU,AS37181,20100301
afrinic,TZ,AS37182,20100302
afrinic,ZW,AS37183,20100305
afrinic,ZW,AS37184,20100309
afrinic,ZM,AS37185,20140919
afrinic,ZA,AS37186,20100315
afrinic,MW,AS37187,20100319
afrinic,ZA,AS37188,20100322
afrinic,ZW,AS37189,20120307
afrinic,CI,AS37190,20100325
afrinic,EG,AS37191,20100330
afrinic,NG,AS37192,20100330
afrinic,EG,AS37193,20100401
afrinic,NG,AS37194,20100401
afrinic,ZA,AS37195,20100401
afrinic,SN,AS37196,20100406
afrinic,SD,AS37197,20100407
afrinic,ZZ,AS37198,
afrinic,ZA,AS37199,20100412
afrinic,NG,AS37200,20100412
afrinic,NA,AS37201,20100415
afrinic,ZZ,AS37202,
afrinic,LR,AS37203,20100416
afrinic,ZW,AS37204,20100416
afrinic,NE,AS37205,20100419
afrinic,UG,AS37206,20100422
afrinic,NG,AS37207,20100427
afrinic,SL,AS37208,20100503
afrinic,NG,AS37209,20100506
afrinic,KE,AS37210,20100506
afrinic,SD,AS37211,20150908
afrinic,GH,AS37212,20100512
afrinic,ZZ,AS37213,
afrinic,ZZ,AS37214,
afrinic,MW,AS37215,20140822
afrinic,ZZ,AS37216,
afrinic,ZZ,AS37217,
afrinic,TZ,AS37218,20100609
afrinic,KE,AS37219,20140722
afrinic,ZZ,AS37220,
afrinic,ZM,AS37221,20100614
afrinic,NG,AS37222,20100615
afrinic,MZ,AS37223,20100616
afrinic,RW,AS37224,20100618
afrinic,ZA,AS37225,20100619
afrinic,ZZ,AS37226,
afrinic,ZZ,AS37227,
afrinic,RW,AS37228,20100622
afrinic,TG,AS37229,20100629
afrinic,NG,AS37230,20100630
afrinic,ZA,AS37231,20100701
afrinic,GH,AS37232,20100701
afrinic,NE,AS37233,20100701
afrinic,ZZ,AS37234,
afrinic,ZA,AS37235,20100709
afrinic,ZA,AS37236,20100712
afrinic,ZZ,AS37237,
afrinic,MU,AS37238,20100714
afrinic,ZA,AS37239,20100716
afrinic,ZZ,AS37240,
afrinic,ZZ,AS37241,
afrinic,ZZ,AS37242,
afrinic,ZZ,AS37243,
afrinic,KE,AS37244,20100729
afrinic,ZZ,AS37245,
afrinic,ZZ,AS37246,
afrinic,KE,AS37247,20100810
afrinic,NG,AS37248,20100811
afrinic,NG,AS37249,20100819
afrinic,EG,AS37250,20100819
afrinic,ZA,AS37251,20100819
afrinic,EG,AS37252,20100824
afrinic,ZA,AS37253,20160129
afrinic,ZA,AS37254,20100827
afrinic,GH,AS37255,20100902
afrinic,SD,AS37256,20100909
afrinic,BW,AS37257,20100909
afrinic,NG,AS37258,20100909
afrinic,ZZ,AS37259,
afrinic,ZZ,AS37260,
afrinic,KE,AS37261,20100923
afrinic,ZZ,AS37262,
afrinic,GH,AS37263,20100929
afrinic,AO,AS37264,20101004
afrinic,ZZ,AS37265,
afrinic,ZA,AS37266,20101008
afrinic,AO,AS37267,20101019
afrinic,ZZ,AS37268,
afrinic,NG,AS37269,20101021
afrinic,ZZ,AS37270,
afrinic,ZA,AS37271,20101025
afrinic,AO,AS37272,20101103
afrinic,UG,AS37273,20101104
afrinic,KE,AS37274,20101104
afrinic,ZA,AS37275,20101111
afrinic,ZA,AS37276,20101115
afrinic,ZA,AS37277,20101115
afrinic,ZZ,AS37278,
afrinic,EG,AS37279,20101123
afrinic,NG,AS37280,20101124
afrinic,CG,AS37281,20190208
afrinic,NG,AS37282,20101129
afrinic,ZZ,AS37283,
afrinic,LY,AS37284,20101206
afrinic,ZZ,AS37285,
afrinic,NG,AS37286,20101216
afrinic,ZM,AS37287,20101217
afrinic,SN,AS37288,20101228
afrinic,GH,AS37289,20110207
afrinic,ZZ,AS37290,
afrinic,ZZ,AS37291,
afrinic,BJ,AS37292,20110225
afrinic,ZZ,AS37293,
afrinic,MW,AS37294,20110301
afrinic,ZZ,AS37295,
afrinic,NG,AS37296,20110304
afrinic,NG,AS37297,20110308
afrinic,KE,AS37298,20110308
afrinic,LS,AS37299,20110308
afrinic,ZZ,AS37300,
afrinic,MU,AS37301,20110314
afrinic,ZA,AS37302,20110315
afrinic,MG,AS37303,20110316
afrinic,GH,AS37304,20110317
afrinic,KE,AS37305,20110318
afrinic,ZZ,AS37306,
afrinic,KE,AS37307,20110322
afrinic,NG,AS37308,20110323
afrinic,GM,AS37309,20110325
afrinic,ZA,AS37310,20110325
afrinic,ZA,AS37311,20110329
afrinic,ZA,AS37312,20110330
afrinic,GH,AS37313,20110401
afrinic,ZA,AS37314,20110406
afrinic,ZA,AS37315,20110412
afrinic,ZA,AS37316,20110415
afrinic,ZA,AS37317,20181012
afrinic,AO,AS37318,20110418
afrinic,KE,AS37319,20110419
afrinic,ZZ,AS37320,
afrinic,ZZ,AS37321,
afrinic,CG,AS37322,20190211
